A.Glenn Hill Center,MU,0
CIE,CME,0
CIE,Electrical and Computer Engineering,0
CME,Dolve,0
Dunbar/Ladd,Hultz,0
Ehly,Engineering,0
Gate City Bank Auditorium,Stevens Hall,0
Morrill,Hultz,0
QBB,Hultz,0
Stevens Hall,Van Es Hall,0
Engineering,Dolve,51
MU,Dunbar/Ladd,100
QBB,Gate City Bank Auditorium,237
South Engineering,Library,240
South Engineering,MU,245
South Engineering,Minard,270
Minard,Morrill,313
A.Glenn Hill Center,Ceres Hall,315
CIE,Sudro,319
Library,Minard,329
Engineering,MU,333
Ceres Hall,Old Main,337
South Engineering,Old Main,343
Old Main,Library,357
Old Main,MU,394
West Dining Center,Residence,440
Sudro,Residence,500
QBB,Electrical and Computer Engineering,540
Wallman Wellness Center,Van Es Hall,584
A.Glenn Hill Center,Old Main,590
QBB,Wallman Wellness Center,1075
Wallman Wellness Center,West Dining Center,1620